one,two,three,four,y
87.82222275656949,1.0154244001753099,56.57156890128249,56.64453115628902,661.1762315716855
13.856095590747874,73.93013339522284,37.00735972119988,36.92758884910006,374.29604034212883
4.378642308778779,33.023602446013264,8.45302955703076,8.502795400638785,105.67242162112994
17.03656819195593,44.74532919031369,25.894669426587356,25.97162567888544,277.4838035099465
76.23224470338074,87.18596467538957,21.22126431922698,21.271222909263916,464.87663998676464
21.886871240872654,35.40296004912123,6.660873376445986,6.682256219833207,147.8550144728752
88.92332157222756,5.684535639632513,99.94909045305648,99.90653186401006,971.7876449667085
8.475722868158794,19.148204903622666,69.21350857510512,69.3262405104603,529.8689687474988
49.409422619610915,69.83348945335784,43.28077079374692,43.22910356469191,520.8116014972106
90.53917426083312,38.4198881619158,60.53053175525856,60.56969558214819,733.9340235885461
96.66961654229458,81.35268687123073,55.913318007669,55.981349174129186,763.3485813256397
65.60060193660988,23.747710856239728,8.45379448165437,8.358276760354238,279.0774194801746
96.08122454628622,15.439451507090764,12.330510539401034,12.35927828857583,390.08318947216594
97.68084416175645,17.297547473153983,60.830508194290374,60.75590691115301,735.5912646732652
87.9915997135384,66.62170312445637,94.60560128700442,94.53410146769536,992.3612162272067
81.85343158982342,1.6510790372907935,63.0174668693309,63.03788340203132,688.4277854599698
60.499645457299955,94.31808298026058,52.38950207388275,52.44513457691873,642.8262496859184
1.0372524182929568,64.90837997999624,23.698703414456133,23.69039868477915,233.77544365173813
21.479190331146338,69.35338761072933,21.9926378389583,22.14172267674329,288.73811041922215
73.45854035754074,41.07581899256653,1.4726491988853396,1.418967437982184,271.1357749396688
15.820409419891305,85.35287218431469,50.93296048815412,50.889874167562375,488.841941827931
39.47932482860718,28.329515295327006,89.68801167404794,89.69407131125162,774.2218927443608
90.91524967038067,31.78387138244613,73.33785067433614,73.36826022279456,818.1228597754156
20.991458010827987,8.427607823544454,62.09926691089145,62.10696441531691,506.4386493612856
