one,two,three,four
0.00810574281088321,0.060782322224300814,0.017389374848076535,0.0952067511649956
0.02390201927074327,0.0052838158430948525,0.039772801148220065,0.00043891562557718533
0.049719304939216294,0.016839865279794818,0.03503105778833855,0.025068953590529987
0.06804096964640959,0.09133266442044358,0.055480071988821704,0.09756315483021977
0.036360425873531256,0.06442881642660794,0.048487553164908395,0.08588209386634488
0.09253982262117029,0.0012559290004698466,0.07675250392509247,0.028954355047516634
0.07081253288944521,0.08652670758323994,0.08414273705206125,0.07315888167814939
0.0010215813456069035,0.015602790725121031,0.07324983212433293,0.05922743692555289
0.04824115326665179,0.06977190540859539,0.08913743641195156,0.06573560964689429
0.011160583868891094,0.0038558645102333535,0.03342196087338483,0.03639757553479506
0.05917184143434449,0.06350795394057067,0.05014936361504568,0.022985356594873965
0.05162020232276572,0.055981010711940116,0.041330522901117286,0.07808350028607874
0.011177377365690145,0.09396292864612305,0.04425133213929312,0.0576933476211194
0.05099206671741194,0.06982989230809858,0.04991406794565273,0.04521271271596285
0.04068291690477848,0.09686050814640164,0.047591841392535306,0.051513755243800474
0.09510188173630092,0.039789255984644056,0.05982140099381714,0.08677066255351933
0.07117310751309686,0.025493455037384517,0.08605957635770986,0.06248072465235166
0.058234794192310015,0.06048111475721627,0.047114249043615254,0.09940921431891993
0.0710609287374178,0.07016685862102474,0.017313724842800117,0.04736059762819035
0.0918446381088037,0.007684654122443913,0.06746870911684584,0.0353884568990361
0.047687668527323784,0.01341916634856044,0.02928841487903562,0.06946015903053207
0.07373769429024346,0.07354342583754701,0.045103668948648395,0.020880395421652622
0.068556772591518,0.09835552903083357,0.03767950230627144,0.09995924241514627
0.006404790104828373,0.04997168888779444,0.008518164891080749,0.03485142038216745
0.010244467491046816,0.008130423209394366,0.07276658455345374,0.029651756280552513
0.006770337763473445,0.025920174371329565,0.09262034486079851,0.03869358308270461
0.051581039723743206,0.08510869259257399,0.0944077965915088,0.027006722201144053
0.049499561339595724,0.08636780815335438,0.03703912181872814,0.05574720716103602
0.08568499630225117,0.06695987169671885,0.06646275426267327,0.09080213666631998
0.08926711641341833,0.06589152661242091,0.01000175570152384,0.06523811180656479
0.0565478263998152,0.007473019931967873,0.04676992870746868,0.031616642110634655
0.023106337777639686,0.05380283109394227,0.029284523857967617,0.028442699598180313
0.0589647228241356,0.04223198567850637,0.06268918839705617,0.05617104894451557
0.006730245215551756,0.06610574934115017,0.08439785157906382,0.08182018234322218
0.07124701425344575,0.09487945155378401,0.099986642674845,0.015630588719361984
0.043033165182697244,0.06167816834794563,0.08136361548007223,0.08245243699897528
0.07871920840964576,0.06377729008089837,0.06231778733023144,0.04964074330998324
0.03050051063686017,0.07700790985064995,0.05906769641521029,0.05113647961220205
0.04645483076362278,0.09800403421776993,0.05836360042314416,0.0050849082792497335
0.042568970971446546,0.06575504299505275,0.07817724269697755,0.0941649390814751
0.02825331417149174,0.09711333123210426,0.06162980632508226,0.051404685061484046
0.010937165254598103,0.033082504963567086,0.05230971992975328,0.018441434973923167
0.004894869473459873,0.060483203155722726,0.048386526285630484,0.023954744963000308
0.02338563397620609,0.09978182195014967,0.08111292848487262,0.06930542979531837
0.02048611941146318,0.07281362351083634,0.026188972766281595,0.05018521483884939
0.09027475967182251,0.040678953370865883,0.07784359087977735,0.004226806102165004
0.07771061095134893,0.053277425581566645,0.06329741254371084,0.04785347196871738
0.03535545469189385,0.08511526430771088,0.02763917689912734,0.07455459016074828
0.013148299485915595,0.02873997636783229,0.04008592116351563,0.030460306218260604
0.0902660590423051,0.030854556865391593,0.05500991179906853,0.0344991411846727
0.08726794507735806,0.09707008654528032,0.03404035846684026,0.026550228324862826
0.04914361788460784,0.0021226461482144244,0.07317913672123036,0.02233410695458903
0.03665924107128118,0.09055383393183299,0.06286831067516932,0.04311098848244338
0.014261624232966542,0.004273642138623901,0.05860760678051692,0.06829706528502863
0.07725716404545643,0.07632750739681018,0.07716590027007465,0.041510985787614085
0.05076863000501323,0.04668639713281773,0.09418720987854341,0.02190509048014653
0.07799578462635905,0.08749053785569391,0.03487454291298192,0.0859513621021103
0.023328235500558736,0.022873400901534092,0.025475815937725955,0.09581090134956424
0.0018393483937129695,0.04228855470716976,0.0942381682869062,0.04016441765141533
0.0692491264412211,0.09242670116337562,0.0856726562632527,0.03063013639623412
0.04720153847093779,0.05290355466966541,0.04230019097414185,0.09687710543650392
0.07559080229737768,0.0716316705459512,0.028600722826544314,0.04010373697240998
0.058166258634746296,0.009235380692448702,0.03770613904979464,0.09568909378159154
0.03651320384207912,0.08438215780686772,0.03388199843224288,0.03162268031016361
0.09389922940515813,0.061778490537003586,0.052298828114356634,0.01466146127749901
0.0038199393759060563,0.017777418015076197,0.06405205758025835,0.09118963681624324
0.07009967828287066,0.02715510743623624,0.02403694313362118,0.010661581117628539
0.08707925441075565,0.006866002770644586,0.0962760445780853,0.07024253547202435
0.021789577107765648,0.0683577769730143,0.03443489417678767,0.04971291543517328
0.04702081577050469,0.0547881774035798,0.07911334821546558,0.060848548007096825
0.03998480027243097,0.024520371997911905,0.0822896628447366,0.040307243863858006
